USERID,GENDER,RACE,AGE,PROVINCE,CHANNEL2,DURATION2,VIEW_DATE,VIEW_TIME,MONTH_NAME,DAY_OF_MONTH,DAY_NAME,DAY_TYPE,TIME_BUCKET,DURATION_BUCKET,AGE_BUCKET
2368371,male,coloured,44,Western Cape,Supersport Live Events,00:08:12.000,2016-03-26,12:25:00.000,Mar,26,Sat,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
617535,male,indian_asian,40,Gauteng,Africa Magic,00:00:11.000,2016-01-11,22:08:00.000,Jan,11,Mon,Weekday,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
617961,male,indian_asian,30,Mpumalanga,Boomerang,00:09:11.000,2016-02-01,00:06:00.000,Feb,1,Mon,Weekday,Late Night (23:00 – 00:59),Short Form Programs (00:03:00 – 00:14:59),Adults (25–34)
771797,male,None,35,Gauteng,SuperSport Blitz,00:00:32.000,2016-02-03,15:31:00.000,Feb,3,Wed,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
67584,male,white,58,Western Cape,Supersport Live Events,00:05:58.000,2016-01-18,17:04:00.000,Jan,18,Mon,Weekday,Early Evening (16:00 – 19:59),Short Form Programs (00:03:00 – 00:14:59),Seniors (55+)
808936,male,white,23,Gauteng,Supersport Live Events,00:05:50.000,2016-03-24,14:31:00.000,Mar,24,Thu,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
808936,male,white,23,Gauteng,Supersport Live Events,00:00:00.000,2016-02-18,12:25:00.000,Feb,18,Thu,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
590480,female,indian_asian,10,Western Cape,Africa Magic,00:02:47.000,2016-01-04,18:11:00.000,Jan,4,Mon,Weekday,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Kids / Tweens (0–12)
831713,female,black,26,North West,Trace TV,00:07:06.000,2016-03-14,09:08:00.000,Mar,14,Mon,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Adults (25–34)
831713,female,black,26,North West,Trace TV,00:15:21.000,2016-03-07,16:45:00.000,Mar,7,Mon,Weekday,Early Evening (16:00 – 19:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Adults (25–34)
817216,male,white,31,Kwazulu Natal,ICC Cricket World Cup 2011,00:02:56.000,2016-02-24,17:57:00.000,Feb,24,Wed,Weekday,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
817216,male,white,31,Kwazulu Natal,M-Net,00:00:00.000,2016-02-25,23:13:00.000,Feb,25,Thu,Weekday,Late Night (23:00 – 00:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
2406478,male,,39,Eastern Cape,Supersport Live Events,00:07:00.000,2016-03-26,15:50:00.000,Mar,26,Sat,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
793592,None,None,0,None,Channel O,01:06:21.000,2016-03-21,14:34:00.000,Mar,21,Mon,Weekday,Daytime (09:00 – 15:59),One-Hour Programs (01:00:00 – 01:59:59),Kids / Tweens (0–12)
904063,male,black,34,Gauteng,Cartoon Network,00:00:17.000,2016-03-27,00:02:00.000,Mar,27,Sun,Weekend,Late Night (23:00 – 00:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
904063,male,black,34,Gauteng,Cartoon Network,00:00:15.000,2016-03-26,22:09:00.000,Mar,26,Sat,Weekend,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
586459,male,black,22,Free State,Cartoon Network,00:05:10.000,2016-01-02,11:49:00.000,Jan,2,Sat,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
791320,female,indian_asian,37,Kwazulu Natal,ICC Cricket World Cup 2011,00:00:14.000,2016-03-05,14:57:00.000,Mar,5,Sat,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
